,Date,BTC_Price,Action,BTC_Held,USD_Balance
83,2022-12-31 23:30:00+00:00,16542.4,HOLD,0.0,10000.0
84,2020-04-01 12:00:00+00:00,6228.11,HOLD,0.0,10000.0
85,2023-05-18 21:00:00+00:00,26833.77,HOLD,0.0,10000.0
86,2022-03-28 13:00:00+00:00,47379.57,HOLD,0.0,10000.0
87,2021-06-27 00:30:00+00:00,32369.29,HOLD,0.0,10000.0
88,2023-09-01 15:00:00+00:00,25862.2,HOLD,0.0,10000.0
89,2021-02-26 05:00:00+00:00,46650.9,HOLD,0.0,10000.0
90,2022-07-08 10:00:00+00:00,21696.13,HOLD,0.0,10000.0
91,2020-09-22 10:00:00+00:00,10442.32,HOLD,0.0,10000.0
92,2020-06-03 05:00:00+00:00,9445.57,HOLD,0.0,10000.0
93,2020-03-20 02:30:00+00:00,6144.68,HOLD,0.0,10000.0
94,2020-01-29 00:00:00+00:00,9376.1,HOLD,0.0,10000.0
95,2022-11-29 02:00:00+00:00,16286.82,HOLD,0.0,10000.0
96,2020-04-01 14:00:00+00:00,6222.82,HOLD,0.0,10000.0
97,2021-10-28 17:00:00+00:00,61053.05,HOLD,0.0,10000.0
98,2020-02-26 02:00:00+00:00,9193.75,HOLD,0.0,10000.0
99,2020-12-09 02:30:00+00:00,18281.0,HOLD,0.0,10000.0
100,2021-03-03 08:30:00+00:00,50909.41,HOLD,0.0,10000.0
101,2022-06-11 05:00:00+00:00,29330.68,HOLD,0.0,10000.0
102,2020-07-11 04:00:00+00:00,9270.89,HOLD,0.0,10000.0
103,2022-10-08 21:00:00+00:00,19424.85,HOLD,0.0,10000.0
104,2022-07-29 10:30:00+00:00,24006.04,HOLD,0.0,10000.0
105,2021-07-04 14:30:00+00:00,35449.78,HOLD,0.0,10000.0
106,2021-04-02 17:30:00+00:00,59180.02,HOLD,0.0,10000.0
107,2023-07-03 17:30:00+00:00,31000.98,HOLD,0.0,10000.0
108,2022-08-04 01:30:00+00:00,23141.21,HOLD,0.0,10000.0
109,2023-08-15 15:30:00+00:00,29332.66,HOLD,0.0,10000.0
110,2021-12-31 11:00:00+00:00,48085.82,HOLD,0.0,10000.0
111,2020-05-11 20:00:00+00:00,8634.91,HOLD,0.0,10000.0
112,2023-04-14 03:30:00+00:00,30690.88,HOLD,0.0,10000.0
113,2023-05-09 14:00:00+00:00,27416.14,HOLD,0.0,10000.0
114,2021-06-16 21:30:00+00:00,38766.72,HOLD,0.0,10000.0
115,2021-07-09 19:30:00+00:00,33445.31,HOLD,0.0,10000.0
116,2020-06-09 11:00:00+00:00,9669.12,HOLD,0.0,10000.0
117,2021-07-31 09:30:00+00:00,41639.96,HOLD,0.0,10000.0
118,2020-03-20 10:00:00+00:00,6742.33,HOLD,0.0,10000.0
119,2020-06-27 00:30:00+00:00,9142.85,HOLD,0.0,10000.0
120,2023-02-20 05:00:00+00:00,24453.43,HOLD,0.0,10000.0
121,2023-06-23 23:00:00+00:00,30578.84,HOLD,0.0,10000.0
122,2022-09-06 21:00:00+00:00,18987.77,HOLD,0.0,10000.0
123,2022-07-02 05:30:00+00:00,19238.26,HOLD,0.0,10000.0
124,2023-01-04 18:30:00+00:00,16948.04,HOLD,0.0,10000.0
125,2021-11-07 22:00:00+00:00,62866.6,HOLD,0.0,10000.0
126,2022-12-12 13:30:00+00:00,16970.47,HOLD,0.0,10000.0
127,2021-08-20 11:00:00+00:00,47113.34,HOLD,0.0,10000.0
128,2021-07-24 21:30:00+00:00,34096.66,HOLD,0.0,10000.0
129,2020-10-19 11:00:00+00:00,11482.15,HOLD,0.0,10000.0
130,2022-04-02 13:00:00+00:00,46857.51,HOLD,0.0,10000.0
131,2022-08-04 13:00:00+00:00,22935.9,HOLD,0.0,10000.0
132,2021-10-29 07:30:00+00:00,60569.05,HOLD,0.0,10000.0
133,2023-09-10 18:30:00+00:00,25728.23,HOLD,0.0,10000.0
134,2023-03-06 18:00:00+00:00,22526.16,HOLD,0.0,10000.0
135,2021-04-20 18:30:00+00:00,56253.81,HOLD,0.0,10000.0
136,2023-03-27 16:00:00+00:00,27183.99,HOLD,0.0,10000.0
137,2023-07-19 11:00:00+00:00,29988.85,HOLD,0.0,10000.0
138,2022-02-09 17:30:00+00:00,44066.0,HOLD,0.0,10000.0
139,2023-05-23 03:00:00+00:00,27335.18,HOLD,0.0,10000.0
140,2021-10-02 04:00:00+00:00,47506.58,HOLD,0.0,10000.0
141,2023-09-05 10:30:00+00:00,25758.01,HOLD,0.0,10000.0
142,2021-07-11 22:30:00+00:00,34391.0,HOLD,0.0,10000.0
143,2022-06-17 21:00:00+00:00,20579.84,HOLD,0.0,10000.0
144,2020-02-19 07:30:00+00:00,10067.74,HOLD,0.0,10000.0
145,2020-02-07 02:00:00+00:00,9852.79,HOLD,0.0,10000.0
146,2022-05-06 10:00:00+00:00,36252.29,HOLD,0.0,10000.0
147,2020-05-17 15:00:00+00:00,9824.41,HOLD,0.0,10000.0
148,2023-03-14 20:30:00+00:00,24570.06,HOLD,0.0,10000.0
149,2023-02-23 04:30:00+00:00,24521.24,HOLD,0.0,10000.0
150,2022-09-12 10:30:00+00:00,22154.46,HOLD,0.0,10000.0
151,2021-10-18 13:30:00+00:00,61835.23,HOLD,0.0,10000.0
152,2022-06-09 16:00:00+00:00,30215.02,HOLD,0.0,10000.0
153,2020-07-09 00:00:00+00:00,9406.31,HOLD,0.0,10000.0
154,2022-02-01 06:00:00+00:00,38280.01,HOLD,0.0,10000.0
155,2021-03-02 04:30:00+00:00,49159.16,HOLD,0.0,10000.0
156,2022-07-20 11:30:00+00:00,23728.55,HOLD,0.0,10000.0
157,2022-01-02 13:30:00+00:00,47137.35,HOLD,0.0,10000.0
158,2022-06-01 15:00:00+00:00,30918.51,HOLD,0.0,10000.0
159,2021-06-27 10:00:00+00:00,32637.49,HOLD,0.0,10000.0
160,2021-04-08 12:00:00+00:00,56908.31,HOLD,0.0,10000.0
161,2023-02-21 02:00:00+00:00,24926.46,HOLD,0.0,10000.0
162,2020-01-21 20:30:00+00:00,8724.33,HOLD,0.0,10000.0
163,2022-07-07 18:00:00+00:00,21100.6,HOLD,0.0,10000.0
164,2020-04-25 19:00:00+00:00,7544.61,HOLD,0.0,10000.0
165,2020-09-04 00:00:00+00:00,10277.69,HOLD,0.0,10000.0
166,2021-08-02 21:00:00+00:00,38852.33,HOLD,0.0,10000.0
167,2022-06-23 23:30:00+00:00,21110.13,HOLD,0.0,10000.0
168,2020-05-16 18:00:00+00:00,9314.85,HOLD,0.0,10000.0
169,2021-02-08 14:00:00+00:00,43634.71,HOLD,0.0,10000.0
170,2020-04-12 14:30:00+00:00,6961.46,HOLD,0.0,10000.0
171,2022-11-03 03:30:00+00:00,20310.63,HOLD,0.0,10000.0
172,2020-10-29 18:30:00+00:00,13557.67,HOLD,0.0,10000.0
173,2022-03-10 13:30:00+00:00,38864.68,HOLD,0.0,10000.0
174,2022-07-20 21:00:00+00:00,23340.11,HOLD,0.0,10000.0
175,2021-08-13 14:30:00+00:00,46432.47,HOLD,0.0,10000.0
176,2020-06-16 03:30:00+00:00,9559.49,HOLD,0.0,10000.0
177,2023-08-07 08:30:00+00:00,29063.01,HOLD,0.0,10000.0
178,2023-04-16 19:00:00+00:00,30514.67,HOLD,0.0,10000.0
179,2022-09-22 04:30:00+00:00,18705.42,HOLD,0.0,10000.0
180,2020-02-29 12:00:00+00:00,8665.01,HOLD,0.0,10000.0
181,2020-05-20 13:00:00+00:00,9771.74,HOLD,0.0,10000.0
182,2020-06-13 12:30:00+00:00,9415.6,HOLD,0.0,10000.0
183,2021-02-25 13:30:00+00:00,51347.6,HOLD,0.0,10000.0
184,2020-02-24 19:00:00+00:00,9628.5,HOLD,0.0,10000.0
185,2022-04-13 18:30:00+00:00,41363.01,HOLD,0.0,10000.0
186,2022-04-05 18:30:00+00:00,45893.04,HOLD,0.0,10000.0
187,2023-04-01 18:30:00+00:00,28376.74,HOLD,0.0,10000.0
188,2023-08-11 03:00:00+00:00,29409.08,HOLD,0.0,10000.0
189,2022-01-17 03:30:00+00:00,42647.4,HOLD,0.0,10000.0
190,2021-08-25 15:30:00+00:00,48822.49,HOLD,0.0,10000.0
191,2022-02-26 06:30:00+00:00,39132.03,HOLD,0.0,10000.0
192,2020-02-14 00:30:00+00:00,10240.55,HOLD,0.0,10000.0
193,2021-11-29 10:00:00+00:00,57345.72,HOLD,0.0,10000.0
194,2022-11-15 09:30:00+00:00,16797.92,HOLD,0.0,10000.0
195,2022-10-02 00:00:00+00:00,19291.77,HOLD,0.0,10000.0
196,2022-10-22 12:30:00+00:00,19182.02,HOLD,0.0,10000.0
197,2022-06-22 12:30:00+00:00,20365.5,HOLD,0.0,10000.0
198,2022-05-08 01:00:00+00:00,35135.33,HOLD,0.0,10000.0
199,2021-07-12 05:30:00+00:00,34330.25,HOLD,0.0,10000.0
200,2022-02-22 07:00:00+00:00,36651.35,HOLD,0.0,10000.0
201,2021-06-13 02:00:00+00:00,35609.36,HOLD,0.0,10000.0
202,2022-08-26 16:30:00+00:00,20722.76,HOLD,0.0,10000.0
203,2021-08-23 18:00:00+00:00,49583.21,HOLD,0.0,10000.0
204,2021-04-08 14:30:00+00:00,57688.36,HOLD,0.0,10000.0
205,2023-08-27 03:00:00+00:00,26016.83,HOLD,0.0,10000.0
206,2022-09-27 08:30:00+00:00,20145.81,HOLD,0.0,10000.0
207,2020-11-02 09:00:00+00:00,13493.15,HOLD,0.0,10000.0
208,2023-01-15 07:30:00+00:00,20735.69,HOLD,0.0,10000.0
209,2022-07-09 14:30:00+00:00,21594.55,HOLD,0.0,10000.0
210,2020-09-04 04:30:00+00:00,10286.4,HOLD,0.0,10000.0
211,2021-08-31 04:00:00+00:00,47207.22,HOLD,0.0,10000.0
212,2022-11-11 19:00:00+00:00,16823.77,HOLD,0.0,10000.0
213,2022-09-10 03:30:00+00:00,21303.07,HOLD,0.0,10000.0
214,2022-12-17 00:30:00+00:00,16705.54,HOLD,0.0,10000.0
215,2022-08-15 16:00:00+00:00,24224.38,HOLD,0.0,10000.0
216,2020-09-07 20:00:00+00:00,10137.22,HOLD,0.0,10000.0
217,2023-09-21 14:00:00+00:00,26523.08,HOLD,0.0,10000.0
218,2020-06-21 04:00:00+00:00,9367.77,HOLD,0.0,10000.0
219,2021-04-06 01:30:00+00:00,58800.01,HOLD,0.0,10000.0
220,2023-04-14 09:00:00+00:00,30743.99,HOLD,0.0,10000.0
221,2020-10-05 18:00:00+00:00,10692.28,HOLD,0.0,10000.0
222,2020-01-18 16:00:00+00:00,8869.34,HOLD,0.0,10000.0
223,2022-05-13 06:30:00+00:00,30390.75,HOLD,0.0,10000.0
224,2020-12-02 06:30:00+00:00,18926.66,HOLD,0.0,10000.0
225,2020-04-23 17:00:00+00:00,7519.99,HOLD,0.0,10000.0
