modelname,gamma,hu,lr,epsilon,dropout,act,m_activation
Standard_Model,0.9580686680780999,31,0.0019588163077646254,1.0436476972901907,0.2512573677480162,softmax,linear
Dense_Model,0.9849322127485136,29,0.0012996957447895504,0.9490545028637726,0.12967981197264497,softmax,sigmoid
